id,category,question,expected_tool,ground_truth,answer,actual_tool,routing_correct,latency,total_iterations,context_recall,faithfulness,answer_correctness,failure_mode
F1,factual,How many stories are in the graph?,text2cypher,There are 6 stories.,6 [1].,text2cypher,True,17.028759479522705,1,1.0,1.0,1.0,Excelente
F2,factual,Which characters appear in more than one story?,text2cypher,Watson; Sherlock Holmes; Mrs. Hudson,"Watson [1], Sherlock Holmes [2], and Mrs. Hudson [3] appear in more than one story.",text2cypher,True,21.44888401031494,1,1.0,1.0,0.0,Contexto insuficiente
F3,factual,How many deductions does Holmes make in The Adventure of the Speckled Band?,text2cypher,The Adventure Of The Speckled Band contains 111 deductions.,Holmes makes 111 deductions in The Adventure of the Speckled Band [1].,text2cypher,True,15.46843934059143,1,1.0,1.0,1.0,Excelente
F4,factual,Which story has the most deductions?,text2cypher,The Adventure Of The Speckled Band has 111 deductions; Silver Blaze has 87 deductions; The Adventure Of The Dancing Men has 80 deductions; The Red-Headed League has 58 deductions; A Scandal In Bohemia has 54 deductions; The Final Problem has 27 deductions,The Adventure Of The Speckled Band [1].,text2cypher,True,22.46998143196106,1,0.0,1.0,1.0,Excelente
D1,descriptive,How does Holmes disguise himself in A Scandal in Bohemia?,vector_search,Holmes disguises himself as a drunken groom and later as a Nonconformist clergyman in A Scandal in Bohemia.,Holmes se disfraza de un mozo de cuadra con aspecto de borracho [1] y de un clérigo inconformista afable y simple [4].,vector_search,True,25.960421085357666,1,1.0,1.0,0.7499999999999999,Excelente
D2,descriptive,Describe the atmosphere at the Reichenbach Falls.,hybrid_search,"The Reichenbach Falls is a dreadful place with a tremendous abyss. The torrent, swollen with melting snow, plunges into the abyss from which spray rises like smoke, with the constant swirl and clamour of roaring water.","Las cataratas de Reichenbach son un lugar temible [1, 2]. El torrente, hinchado por la nieve derretida, se precipita en un abismo tremendo [1, 2]. El chasm es inmenso, revestido de roca negra brillante, y se estrecha en un pozo cremoso y hirviente de profundidad incalculable [1]. El agua verde desciende rugiendo sin cesar, y una espesa cortina de rocío asciende siseando, haciendo que uno se sienta mareado por su constante remolino y estruendo [1]. El rocío sube como el humo de una casa en llamas [1], y su deriva incesante mantiene el suelo blando [6].",vector_search,False,53.46706962585449,2,1.0,1.0,0.5,Contexto insuficiente
D3,descriptive,What role does the cipher play in The Adventure of the Dancing Men?,hybrid_search,"The dancing men cipher is the central mystery: Holmes deciphers it by frequency analysis, uncovering a threat to Elsie Cubitt from her criminal past in America.","El cifrado se utiliza para mensajes, como el último mensaje de Slaney a Hilton Cubitt, que tomó la forma ""ELSIE .RE.ARE TO MEET THY GO"" y, con la adición de una P y una D, mostró que el rufián estaba pasando de la persuasión a las amenazas [1, 2]. También se menciona que los símbolos representan letras y que una combinación de letras podría significar ""ELSIE"", siendo un llamado a ""Elsie"" [6].",vector_search,False,27.28512692451477,1,1.0,1.0,0.4615384615384615,Contexto insuficiente
D4,descriptive,How does Holmes use disguise as an investigative method?,hybrid_search,"Holmes uses disguise extensively across stories, adopting personas such as a drunken groom, a Nonconformist clergyman, and an old bookseller to gather information without being recognised.",Esta información no se encuentra en la base de conocimiento.,vector_search,False,272.4558355808258,1,0.0,1.0,0.0,Contexto insuficiente
S1,structural,Which characters know Holmes AND appear in more than one story?,text2cypher,Watson knows Holmes and appears in 6 stories,Esta información no se encuentra en la base de conocimiento.,text2cypher,True,63.606074810028076,3,0.0,1.0,0.0,Contexto insuficiente
S2,structural,What objects does Sherlock Holmes use across all stories?,text2cypher,Alpine-stock; Cardboard announcement; account; army revolver; baboon; bag; bell; bell-rope; black cassock; black cassock and hat; black clay pipe; boots; box of matches; bundle of fresh papers; cable form; cablegram; cane; card; case-book; chemical analysis; curt announcement; dancing men; dog-whip; double track; glass; half-crown; hand-bag; hansom; hat; heavy hunting crop; her photograph; horseshoe; inscription; iron safe; ivory-handled knife; knees of his trousers; lady's hand-bag; lamp; landau; lantern; large iron safe; lens; letter; little brazen cylinder; long thin cane; magnifying lens; match; matting; milliner's account for thirty-seven pounds fifteen; my field-glass; noose; note; notes; page from a notebook; paper; pistol; pocketbook; receipt; reply; rope; sheet of blue paper; sheet of paper; shutters; slip of paper; slips of the dancing men; small saucer of milk; spirits of wine; steaming test-tube; steel poker; stump of a candle; telegram; the paper with the curious markings; the thoroughbred; the various papers upon which were recorded the antics of the dancing men; these papers; this epistle; two notes from Holmes; ventilator; will of the deceased wife; wire,"Sherlock Holmes usa un bastón alpino [1], un anuncio de cartón [2], una cuenta [3], un revólver del ejército [4], un babuino [5], una bolsa [6], una campana [7], una cuerda de campana [8], una sotana negra [9], una sotana y sombrero negros [10], una pipa de arcilla negra [11], botas [12], una caja de cerillas [13], un fajo de papeles frescos [14], un formulario de cable [15], un cablegrama [16], un bastón [17], una tarjeta [18], un libro de casos [19], un análisis químico [20], un anuncio brusco [21], hombres danzantes [22], un látigo de perro [23], una doble vía [24], un vaso [25], media corona [26], un bolso de mano [27], un hansom [28], un sombrero [29], un pesado látigo de caza [30], su fotografía [31], una herradura [32], una inscripción [33], una caja fuerte de hierro [34], un cuchillo con mango de marfil [35], las rodillas de sus pantalones [36], un bolso de mano de señora [37], una lámpara [38], un landau [39], una linterna [40], una caja fuerte grande de hierro [41], una lente [42], una carta [43], un pequeño cilindro de bronce [44], un bastón largo y delgado [45], una lupa [46], una cerilla [47], un felpudo [48], una cuenta de sombrerero por treinta y siete libras quince [49], mis prismáticos [50], un lazo [51], una nota [52], notas [53], una página de un cuaderno [54], papel [55], una pistola [56], una cartera [57], un recibo [58], una respuesta [59], una cuerda [60], una hoja de papel azul [61], una hoja de papel [62], persianas [63], un trozo de papel [64], trozos de los hombres danzantes [65], un pequeño platillo de leche [66], alcohol de vino [67], un tubo de ensayo humeante [68], un atizador de acero [69], un trozo de vela [70], un telegrama [71], el papel con las curiosas marcas [72], el purasangre [73], los diversos papeles en los que se registraban las travesuras de los hombres danzantes [74], estos papeles [75], esta epístola [76], dos notas de Holmes [77], un ventilador [78], el testamento de la esposa fallecida [79], y un alambre [80].",text2cypher,True,30.12220597267151,1,1.0,0.875,0.0,Contexto insuficiente
