question,cypher,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
Hello,RETURN 'Hello! I am a knowledge assistant specialising in Sherlock Holmes stories.' AS ground_truth,Hello! I am a knowledge assistant specialising in Sherlock Holmes stories.,"¡Hola! Soy un asistente de conocimiento especializado en las historias de Sherlock Holmes de Arthur Conan Doyle. Puedo responder preguntas sobre personajes, ubicaciones, crímenes, deducciones, objetos y eventos de los relatos del canon holmesiano.",2.127964,[],1.0,1.0,0.9411764705882353
What can you do?,"RETURN 'I can answer questions about Sherlock Holmes stories: characters, crimes, deductions, locations, and events.' AS ground_truth","I can answer questions about Sherlock Holmes stories: characters, crimes, deductions, locations, and events.","¡Hola! Soy un asistente de conocimiento especializado en las historias de Sherlock Holmes de Arthur Conan Doyle. Puedo responder preguntas sobre personajes, ubicaciones, crímenes, deducciones, objetos y eventos de los relatos del canon holmesiano.",11.386082,[],1.0,1.0,0.8
What is the weather like today?,RETURN 'This question is outside my scope.' AS ground_truth,This question is outside my scope.,Esta pregunta está fuera de mi ámbito. Solo puedo responder preguntas relacionadas con las historias de Sherlock Holmes y su universo literario.,4.930841,[],1.0,1.0,0.5
Who won the World Cup?,RETURN 'This question is outside my scope.' AS ground_truth,This question is outside my scope.,Esta pregunta está fuera de mi ámbito. Solo puedo responder preguntas relacionadas con las historias de Sherlock Holmes y su universo literario.,5.497621,[],1.0,1.0,0.5
How many stories are in the graph?,MATCH (s:Story) RETURN count(s) AS ground_truth,6,6 [1].,10.505609,"[""{'total_stories': 6}""]",1.0,1.0,0.0
How many characters are in the graph?,MATCH (c:Character) RETURN count(c) AS ground_truth,73,73 [1].,11.377134,"[""{'total_characters': 73}""]",1.0,1.0,0.0
What stories does Sherlock Holmes appear in?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:APPEARS_IN]->(s:Story) RETURN s.title AS ground_truth ORDER BY s.title,A Scandal In Bohemia; Silver Blaze; The Adventure Of The Dancing Men; The Adventure Of The Speckled Band; The Final Problem; The Red-Headed League,"Sherlock Holmes appears in ""A Scandal In Bohemia"" [1], ""Silver Blaze"" [2], ""The Adventure Of The Dancing Men"" [3], ""The Adventure Of The Speckled Band"" [4], ""The Final Problem"" [5], and ""The Red-Headed League"" [6].",17.797336,"[""{'title': 'A Scandal In Bohemia', 'collection': 'The Adventures of Sherlock Holmes'}"", ""{'title': 'Silver Blaze', 'collection': 'The Memoirs of Sherlock Holmes'}"", ""{'title': 'The Adventure Of The Dancing Men', 'collection': 'The Return of Sherlock Holmes'}"", ""{'title': 'The Adventure Of The Speckled Band', 'collection': 'The Adventures of Sherlock Holmes'}"", ""{'title': 'The Final Problem', 'collection': 'The Memoirs of Sherlock Holmes'}"", ""{'title': 'The Red-Headed League', 'collection': 'The Adventures of Sherlock Holmes'}""]",1.0,1.0,1.0
Who does Holmes know?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:KNOWS]->(c2:Character) RETURN c2.name AS ground_truth ORDER BY c2.name,"Abe Slaney; Colonel; Count Von Kramm; Dawson; Gregory; Irene Adler; Jabez Wilson; John Clay; Master Silas Brown; Miss Roylott; Mr. Merryweather; Mrs. Farintosh; Mrs. Hudson; Mrs. King; Mrs. Straker; Mrs. Watson; Mycroft; Peter Jones; Watson; Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia; Wilson Hargreave","Holmes knows Abe Slaney [1], Colonel [2], Count Von Kramm [3], Dawson [4], Gregory [5], Irene Adler [6], Jabez Wilson [7], John Clay [8], Master Silas Brown [9], Miss Roylott [10], Mr. Merryweather [11], Mrs. Farintosh [12], Mrs. Hudson [13], Mrs. King [14], Mrs. Straker [15], Mrs. Watson [16], Mycroft [17], Peter Jones [18], Watson [19], Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia [20], and Wilson Hargreave [21].",22.720468,"[""{'known_character': 'Abe Slaney', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Colonel', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Count Von Kramm', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Dawson', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Gregory', 'relationship_type': 'colleague'}"", ""{'known_character': 'Irene Adler', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Jabez Wilson', 'relationship_type': 'colleague'}"", ""{'known_character': 'John Clay', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Master Silas Brown', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Miss Roylott', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mr. Merryweather', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mrs. Farintosh', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mrs. Hudson', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mrs. King', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mrs. Straker', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mrs. Watson', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Mycroft', 'relationship_type': 'family'}"", ""{'known_character': 'Peter Jones', 'relationship_type': 'colleague'}"", ""{'known_character': 'Watson', 'relationship_type': 'friend'}"", ""{'known_character': 'Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia', 'relationship_type': 'acquaintance'}"", ""{'known_character': 'Wilson Hargreave', 'relationship_type': 'friend'}""]",1.0,1.0,1.0
What crimes does Holmes investigate?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:INVESTIGATES]->(cr:Crime) RETURN cr.name AS ground_truth,"Trepoff murder; singular tragedy of the Atkinson brothers; Potential Scandal of the House of Ormstein; Disappearance of the Red-Headed League employment; Attempted Theft at Coburg Square; Threat to Helen Stoner; Death of Julia Stoner; Mystery of the Dancing Men; Shooting of Mr. Hilton Cubitt and his wife; Disappearance of the favourite for the Wessex Cup; Murder of the trainer of the favourite for the Wessex Cup; the matter of the ""Naval Treaty""; Attempted Murder of Mr. Holmes (van attack); Arson at Baker Street; Arson of Holmes's Rooms; Attempted Murder of Mr. Holmes (rockfall); Attempted Murder of Mr. Holmes (Reichenbach Falls)","Holmes investiga el asesinato de Trepoff [1], la singular tragedia de los hermanos Atkinson [2], el potencial escándalo de la Casa de Ormstein [3], la desaparición del empleo de la Liga de los Pelirrojos [4], el intento de robo en Coburg Square [5], la amenaza a Helen Stoner [6], la muerte de Julia Stoner [7], el misterio de los Hombres Danzarines [8], el tiroteo del Sr. Hilton Cubitt y su esposa [9], la desaparición del favorito para la Copa Wessex [10], el asesinato del entrenador del favorito para la Copa Wessex [11], el asunto del ""Tratado Naval"" [12], el intento de asesinato del Sr. Holmes (ataque de furgoneta) [13], el incendio provocado en Baker Street [14], el incendio provocado en las habitaciones de Holmes [15], el intento de asesinato del Sr. Holmes (desprendimiento de rocas) [16], y el intento de asesinato del Sr. Holmes (Cataratas de Reichenbach) [17].",34.740275,"[""{'crime': 'Trepoff murder', 'type': 'murder', 'description': 'A murder case in Odessa that Holmes was summoned to investigate.', 'story': 'A Scandal In Bohemia'}"", ""{'crime': 'singular tragedy of the Atkinson brothers', 'type': 'other', 'description': 'A mysterious tragedy involving the Atkinson brothers at Trincomalee that Holmes cleared up.', 'story': 'A Scandal In Bohemia'}"", '{\'crime\': \'Potential Scandal of the House of Ormstein\', \'type\': \'other\', \'description\': ""A delicate matter that could grow into an immense scandal, seriously compromising one of the reigning families of Europe, specifically the great House of Ormstein, hereditary kings of Bohemia. | A delicate matter that could seriously compromise one of the reigning families of Europe, specifically the great House of Ormstein. | A great scandal that threatened to affect the kingdom of Bohemia. | Irene Adler threatens to send a compromising photograph of herself and the King to the family of his fiancée, Clotilde Lothman von Saxe-Meningen, to prevent his marriage. | The King of Bohemia seeks to retrieve compromising letters from Irene Adler to prevent her from using them for blackmail or other purposes that would cause a scandal for his house. | The King seeks to prevent the public release of a compromising photograph that could lead to a scandal and jeopardize his betrothal. | The King\'s fear of annoyance due to Irene Adler possessing a compromising photograph that could ruin his marriage. | The current inquiry Holmes is working on, involving a client of exalted station. | The ongoing threat involving a photograph that could cause a scandal for the House of Ormstein. | The overarching mystery Holmes is investigating, concerning a compromising photograph and its potential to cause a scandal for the King of Bohemia. | The overarching scandal Holmes is investigating, involving a photograph that could lead to a royal marriage being jeopardized. | The potential exposure of a compromising photograph involving the King of Bohemia. | The potential scandal involving a photograph that could compromise the House of Ormstein. | The potential scandal involving a photograph that could compromise the King of Bohemia, now resolved by Irene Norton\'s letter. | The potential scandal involving the King of Bohemia and Irene Adler, which is the reason for Holmes\'s investigation. | The underlying mystery Holmes is trying to solve, involving a compromising photograph."", \'story\': \'A Scandal In Bohemia\'}', '{\'crime\': \'Disappearance of the Red-Headed League employment\', \'type\': \'disappearance\', \'description\': ""Mr. Wilson wants to find out about the Red-Headed League, who they are, and their object in playing a prank on him. | The central mystery Holmes is investigating, involving the Red-headed League. | The extraordinary story of the red-headed copier of the Encyclopædia, which is still confusing to Watson. | The fantastic business of the advertisement of the League, and the copying of the Encyclopædia | The fraudulent scheme that led to Jabez Wilson losing his employment and weekly income from the Red-Headed League. | The sudden and unexplained dissolution of the Red-Headed League, leading to the client\'s loss of employment. | The sudden and unexplained termination of the Red-Headed League\'s employment offer to Jabez Wilson. | The sudden and unexplained termination of the narrator\'s lucrative employment with the Red-Headed League."", \'story\': \'The Red-Headed League\'}', ""{'crime': 'Attempted Theft at Coburg Square', 'type': 'theft', 'description': 'A considerable crime that is in contemplation at Coburg Square, which Holmes intends to stop. | An attempt by John Clay and his accomplice to steal from the bank vault beneath Saxe-Coburg Square. | An attempt to steal from the bank vault located beneath Saxe-Coburg Square. | An attempt to steal the French gold (30,000 napoleons) from the cellar of a London bank. | One of the most determined attempts at bank robbery | The crime being prevented or investigated, involving a stake of £30,000 and the apprehension of John Clay. | The impending event hinted at by Holmes, involving a nocturnal expedition and the need to go armed. | The planned theft of bullion from the City and Suburban Bank, which Holmes predicts will occur tonight.', 'story': 'The Red-Headed League'}"", '{\'crime\': \'Threat to Helen Stoner\', \'type\': \'other\', \'description\': ""An ongoing threat to Miss Stoner, implied by her reaction to Dr. Roylott following her. | Dr. Grimesby Roylott\'s attempt to murder Miss Stoner using a trained snake. | Dr. Roylott has followed Miss Stoner, causing her to fear for her safety. | Dr. Roylott\'s aggressive behavior and threats towards Holmes, stemming from Miss Stoner\'s visit, indicate an ongoing threat related to the case. | Helen Stoner\'s vague fears and suspicions about dangers encompassing her, which she asks Holmes to advise her on. | Holmes expresses concern that \'our little friend will not suffer from her imprudence in allowing this brute to trace her\', indicating an ongoing threat to Miss Stoner. | Holmes warns the narrator that the least sound could be fatal to their plans and that their very life may depend on staying awake, indicating an active and immediate danger. | The \'subtle and horrible crime\' that Holmes and Watson are trying to prevent. | The client heard the low whistle again, which was a herald of her sister\'s death, indicating a new threat to her. | The client hears a low whistle, similar to one heard before her sister\'s death, indicating an ongoing threat. | The client\'s current \'trouble\' which she has confided to Holmes. | The doctor\'s interest in preventing his stepdaughter\'s marriage, implying a threat to Helen Stoner. | The ongoing dangers threatening Miss Stoner, which Holmes promises to drive away. | The ongoing threat to Helen Stoner\'s life, which Holmes is investigating. | The ongoing threat to Miss Stoner\'s life, which Holmes emphasizes is very serious. | The ongoing threat to Miss Stoner\'s life, which Holmes is investigating. | The ongoing threat to Miss Stoner, which is resolved by Dr. Roylott\'s death."", \'story\': \'The Adventure Of The Speckled Band\'}', '{\'crime\': \'Death of Julia Stoner\', \'type\': \'other\', \'description\': ""Julia Stoner died without recovering consciousness. She was found in her night-dress with a charred match stump and a match-box. The coroner found no satisfactory cause of death, no marks of violence, and no poison. Helen believes she died of pure fear and nervous shock. | La narradora describe la noche en que su hermana Julia murió, escuchando un grito y un silbido. | Miss Stoner\'s sister met her fate in the second chamber, which is now Miss Stoner\'s current room. | The client\'s sister died in her bed, possibly from fear or nervous shock, and the client is now sleeping in the same bed. | The client\'s sister\'s death, preceded by a low whistle. | The death of Julia Stoner two years prior, which her sister Helen wishes to discuss with Sherlock Holmes, implying suspicious circumstances. | The death of Miss Stoner\'s sister, which Holmes is investigating, specifically focusing on the circumstances involving a ventilator and a cord. | The death of Miss Stoner\'s sister, which Holmes was hired to investigate. | The fate that Miss Stoner\'s sister met in the second chamber. | The financial implications of the \'will of the deceased wife\' (Julia Stoner) are analyzed, providing a potential motive for her death or the threat to her sister. | The murder of Miss Stoner\'s sister, Julia Stoner, by Dr. Grimesby Roylott using a trained snake. | The mysterious death of Miss Stoner\'s sister, which Holmes is investigating. | The mysterious end of Helen Stoner\'s sister, referred to as \'her mysterious end\' and \'dying woman\'. | The mysterious end of the client\'s sister, which Holmes is investigating. | The past death of Helen Stoner\'s sister, which is connected to the current investigation. | The past death of a lady who slept in the bed, now understood to be connected to the ventilator and cord. | The past event that Holmes was investigating, linked to the \'band\'. | The sudden and violent death of Helen\'s sister, Julia, who screams about \'the speckled band\' before dying. | The terrible event that occurred a fortnight before Julia\'s wedding, depriving Helen of her only companion."", \'story\': \'The Adventure Of The Speckled Band\'}', '{\'crime\': \'Mystery of the Dancing Men\', \'type\': \'other\', \'description\': ""A conundrum involving curious markings (dancing figures) that are frightening Mr. Hilton Cubitt\'s wife to death. | An ongoing series of mysterious hieroglyphic messages appearing, causing distress and fear to the client. | An ongoing threat involving mysterious \'dancing men\' pictures, causing distress to the client and his wife. | Mr. Hilton Cubitt is anxious to understand the meaning of absurd hieroglyphics, resembling a child\'s drawing, that arrived by post. | The appearance of cryptic dancing men figures, now including a new message \'NEVER\', causing distress and fear. | The appearance of mysterious dancing figures, first scrawled in chalk and later found on a paper, causing significant distress and fear to Elsie. | The central mystery Holmes is investigating, involving slips with dancing men figures. | The central mystery involving coded messages of dancing men, which Holmes has now resolved. | The central mystery involving strange stick-figure drawings that appear at Riding Thorpe Manor. | The matter related to the evidence of the dancing men. | The mystery surrounding the hieroglyphics and the danger threatening Elsie Cubitt | The ongoing affair that Holmes is investigating, now escalating with new threats. | The ongoing mystery involving strange signals and a skulking rascal at Hilton Cubitt\'s estate. | The ongoing mystery involving the appearance of cryptic dancing men figures. | The overarching mystery Holmes is investigating, involving strange stick figures. | The overarching mystery Holmes is investigating, related to strange drawings and Elsie\'s distress. | The overarching mystery Holmes is investigating. | The secret code of dancing men, central to the communication and events of the case. | The secret of Hilton Cubitt\'s annoyance, which Holmes is investigating and believes he has solved. | The subject of Mr. Hilton Cubitt\'s previous consultations with Holmes, involving mysterious stick-figure messages."", \'story\': \'The Adventure Of The Dancing Men\'}', '{\'crime\': \'Shooting of Mr. Hilton Cubitt and his wife\', \'type\': \'murder\', \'description\': ""A crime committed at three this morning. | Mr. Hilton Cubitt found dead and Mrs. Hilton Cubitt horribly wounded in the study after two explosions. | Mr. Hilton Cubitt had been shot through the heart. Mrs. Hilton Cubitt\'s injuries were serious, but not necessarily fatal, with a bullet having passed through the front of her brain. | Mr. Hilton Cubitt was shot dead, and his wife shot him and then herself; her life is despaired of. | Mr. Hilton Cubitt was shot dead, and his wife, Mrs. Hilton Cubitt, was seriously wounded. | Mr. Hilton Cubitt was shot through the heart and died instantly. His wife was also wounded by a bullet. Evidence of a third shot fired from a revolver suggests a third person was present. | Mr. Hilton Cubitt was shot through the heart, resulting in instantaneous death, and Mrs. Hilton Cubitt was injured. | Slaney describes shooting the husband (Mr. Hilton Cubitt) during a confrontation at a window. | The incident where Mr. Hilton Cubitt was killed and his wife was injured, which led to Abe Slaney\'s condemnation. | The ongoing crime being investigated, involving multiple shots fired. | The recent violent event that is part of the ongoing investigation. | The shooting incident that Holmes is investigating, referred to as \'the firing\' and \'the tragedy\'. | The tragic event resulting in the death of Mr. Hilton Cubitt and Mrs. Hilton Cubitt being driven to suicide, caused by Abe Slaney\'s actions. | The tragic event that occurred before Holmes and Watson arrived in Norfolk, with Abe Slaney suspected as the murderer. | The violent event that occurred during the night, leading to Mrs. Hilton Cubitt\'s condition."", \'story\': \'The Adventure Of The Dancing Men\'}', '{\'crime\': \'Disappearance of the favourite for the Wessex Cup\', \'type\': \'disappearance\', \'description\': ""Colonel Ross\'s horse, Silver Blaze, is still missing | John Straker is believed to have taken out Silver Blaze from the stables at night. | John Straker planned to make a slight, untraceable nick on the tendons of Silver Blaze\'s ham using a surgical knife to cause lameness, which necessitated taking the horse out onto the moor. | Silas Brown hid the favourite horse, Silver Blaze, to prevent it from winning against his own bet. | The disappearance of Colonel Ross\'s horse, Silver Blaze. | The disappearance of Colonel Ross\'s horse, which Holmes is tasked with recovering. | The disappearance of Silver Blaze, the racehorse. | The disappearance of the favourite horse for the Wessex Cup. | The disappearance of the most remarkable horse in England. | The favourite horse for the Wessex Cup has disappeared after a struggle at a hollow. | The favourite horse for the Wessex Cup has disappeared. | The favourite horse for the Wessex Cup has gone missing. | The favourite horse\'s stall was found empty. | The favourite racehorse, Silver Blaze, was prevented from being at the race, with many having an interest in this outcome. | The horse that was recovered, for which the Colonel thanks Holmes. | The initial mystery that Holmes was hired to investigate. | The mysterious disappearance of the horse favored to win the Wessex Cup. | The mystery of what has become of the missing horse."", \'story\': \'Silver Blaze\'}', '{\'crime\': \'Murder of the trainer of the favourite for the Wessex Cup\', \'type\': \'murder\', \'description\': ""John Straker\'s dead body was found in a bowl-shaped depression on the moor. His head had been shattered by a savage blow from some heavy weapon, and he was wounded on the thigh by a very sharp instrument. | Referred to as part of \'the catastrophe\' that occurred, involving John Straker. | Straker, the trainer of the favourite horse, was murdered. | Straker, the trainer, was brought back to the villa, implying his death. | Straker, the trainer, was found missing after leaving for the stables. | The crime being investigated, referred to by the discovery of \'the body\'. | The crime scene being discussed and investigated | The dead man (Straker) was found with a singular knife in his hand. | The murder of John Straker, the trainer of Silver Blaze. | The murder of John Straker, the trainer of the favourite horse. | The murder of John Straker, the trainer. | The murder of John Straker, which Holmes claims to have solved. | The murder of Straker, the trainer of the favourite horse. | The murder of Straker, the trainer, which Colonel Ross wishes to avenge. | The murder of Straker, the trainer, which is currently under investigation. | The question of who killed John Straker. | The tragic murder of the trainer of the horse favored to win the Wessex Cup. | The trainer, Straker, was murdered, suffering terrible injuries."", \'story\': \'Silver Blaze\'}', '{\'crime\': \'the matter of the ""Naval Treaty""\', \'type\': \'other\', \'description\': ""A case where Sherlock Holmes\'s interference prevented a serious international complication. | A previous case mentioned in the narrative context. | A previously mentioned crime that Holmes was investigating."", \'story\': \'The Final Problem\'}', '{\'crime\': \'Attempted Murder of Mr. Holmes (van attack)\', \'type\': \'attempted murder\', \'description\': ""A previous attempt on Holmes\'s life mentioned in the narrative context. | An attempt on Holmes\'s life using a van, mentioned in the narrative context. | Holmes was nearly run over by a furiously driven two-horse van in Oxford Street. | Implied by the arrest of the \'bludgeon-man\'."", \'story\': \'The Final Problem\'}', '{\'crime\': \'Arson at Baker Street\', \'type\': \'other\', \'description\': ""Holmes\'s rooms were set on fire the previous night."", \'story\': \'The Final Problem\'}', '{\'crime\': ""Arson of Holmes\'s Rooms"", \'type\': \'arson\', \'description\': ""Moriarty\'s men set fire to Holmes\'s rooms at Baker Street."", \'story\': \'The Final Problem\'}', ""{'crime': 'Attempted Murder of Mr. Holmes (rockfall)', 'type': 'attempted_murder', 'description': 'A large rock was dislodged from a ridge and fell near Holmes and Watson while they were crossing the Gemmi Pass, which Holmes suspects was an intentional act.', 'story': 'The Final Problem'}"", '{\'crime\': \'Attempted Murder of Mr. Holmes (Reichenbach Falls)\', \'type\': \'attempted_murder\', \'description\': ""An attempt on Holmes\'s life at Reichenbach Falls, implied by his disappearance and the discovery of his Alpine-stock."", \'story\': \'The Final Problem\'}']",1.0,0.29411764705882354,1.0
Where does Holmes live?,MATCH (c:Character {name: 'Sherlock Holmes'})-[:LIVES_AT]->(l:Location) RETURN l.name AS ground_truth,house; Doctors' Commons,Esta información no se encuentra en la base de conocimiento.,27.352238,"['{\'location\': \'house\', \'type\': \'building\', \'description\': ""Hilton Cubitt\'s residence""}', '{\'location\': ""Doctors\' Commons"", \'type\': \'building\', \'description\': \'A place where Holmes goes to obtain and examine legal documents, specifically the will of the deceased wife.\'}']",0.0,1.0,0.0
